Model,MAE,MSE,RMSE,R2_Score
Random Forest,0.6289250000000022,0.5740443500000031,0.7576571454160537,0.9818130864772012
Linear Regression,1.4607567168117603,3.1740973539761033,1.78159966153345,0.899438024100912
